Time, TempExt, TempInt, TempRef, Fan, Resistor
2021-03-18 15:30:03, 27.290, 36.899, 75.000, 0.000, 100.000
2021-03-18 15:30:05, 27.290, 37.995, 75.000, 0.000, 100.000
2021-03-18 15:30:06, 27.280, 38.479, 75.000, 0.000, 100.000
2021-03-18 15:30:07, 27.280, 38.479, 75.000, 0.000, 100.000
2021-03-18 15:30:09, 27.280, 39.768, 75.000, 0.000, 100.000
2021-03-18 15:30:10, 27.280, 39.445, 75.000, 0.000, 100.000
2021-03-18 15:30:11, 27.280, 39.445, 75.000, 0.000, 100.000
2021-03-18 15:30:13, 27.280, 38.640, 75.000, 0.000, 100.000
2021-03-18 15:30:14, 27.280, 38.640, 75.000, 0.000, 100.000
2021-03-18 15:30:15, 27.280, 38.124, 75.000, 0.000, 100.000
2021-03-18 15:30:17, 27.280, 38.607, 75.000, 0.000, 100.000
2021-03-18 15:30:18, 27.280, 38.607, 75.000, 0.000, 100.000
2021-03-18 15:30:20, 27.280, 38.672, 75.000, 0.000, 100.000
2021-03-18 15:30:21, 27.290, 39.091, 75.000, 0.000, 100.000
2021-03-18 15:30:22, 27.280, 39.091, 75.000, 0.000, 100.000
2021-03-18 15:30:24, 27.280, 40.605, 75.000, 0.000, 100.000
2021-03-18 15:30:25, 27.290, 41.766, 75.000, 0.000, 100.000
2021-03-18 15:30:26, 27.300, 41.766, 75.000, 0.000, 100.000
2021-03-18 15:30:28, 27.300, 43.184, 75.000, 0.000, 100.000
2021-03-18 15:30:29, 27.300, 43.506, 75.000, 0.000, 100.000
2021-03-18 15:30:30, 27.300, 43.506, 75.000, 0.000, 100.000
2021-03-18 15:30:32, 27.290, 44.054, 75.000, 0.000, 100.000
2021-03-18 15:30:33, 27.300, 44.537, 75.000, 0.000, 100.000
2021-03-18 15:30:35, 27.310, 44.537, 75.000, 0.000, 100.000
2021-03-18 15:30:36, 27.300, 43.603, 75.000, 0.000, 100.000
2021-03-18 15:30:37, 27.310, 42.539, 75.000, 0.000, 100.000
2021-03-18 15:30:39, 27.300, 42.539, 75.000, 0.000, 100.000
2021-03-18 15:30:40, 27.290, 42.958, 75.000, 0.000, 100.000
2021-03-18 15:30:41, 27.310, 42.926, 75.000, 0.000, 100.000
2021-03-18 15:30:43, 27.300, 42.926, 75.000, 0.000, 100.000
2021-03-18 15:30:44, 27.300, 43.796, 75.000, 0.000, 100.000
2021-03-18 15:30:45, 27.300, 44.924, 75.000, 0.000, 100.000
2021-03-18 15:30:47, 27.300, 44.924, 75.000, 0.000, 100.000
2021-03-18 15:30:48, 27.290, 46.084, 75.000, 0.000, 100.000
2021-03-18 15:30:50, 27.290, 46.310, 75.000, 0.000, 100.000
2021-03-18 15:30:51, 27.300, 46.310, 75.000, 0.000, 100.000
2021-03-18 15:30:52, 27.290, 47.051, 75.000, 0.000, 100.000
2021-03-18 15:30:54, 27.300, 47.051, 75.000, 0.000, 100.000
2021-03-18 15:30:55, 27.300, 47.051, 75.000, 0.000, 100.000
2021-03-18 15:30:57, 27.310, 46.696, 75.000, 0.000, 100.000
2021-03-18 15:30:58, 27.300, 45.955, 75.000, 0.000, 100.000
